iter	MultiClass
0	1.079632185
1	1.063937752
2	1.050283776
3	1.038930909
4	1.028456877
5	1.01941641
6	1.011075843
7	1.003978793
8	0.9969309699
9	0.9908230987
10	0.9845410043
11	0.9795787358
12	0.9747677108
13	0.9694079638
14	0.9648087491
15	0.9607420768
16	0.9564664749
17	0.9527323695
18	0.9488842253
19	0.9453616008
20	0.9420679252
21	0.9384376501
22	0.935150707
23	0.9319268533
24	0.9288396189
25	0.9255733812
26	0.9225930921
27	0.9198412569
28	0.9170325895
29	0.9143212419
30	0.9116828195
31	0.9089772796
32	0.9064781261
33	0.9040332637
34	0.9012795438
35	0.8989622842
36	0.8965199459
37	0.8941861137
38	0.8918935108
39	0.8894888677
40	0.8872947985
41	0.8849880249
42	0.8828073668
43	0.8806358547
44	0.8786546811
45	0.8762407434
46	0.8740826913
47	0.872057634
48	0.869917008
49	0.8678448189
50	0.8659159145
51	0.8638217406
52	0.861854232
53	0.8599701485
54	0.8582060605
55	0.8561873591
56	0.8543417536
57	0.8523823025
58	0.8505847884
59	0.8488184074
60	0.8470871721
61	0.8453433724
62	0.8437782514
63	0.8420472757
64	0.8403614398
65	0.8386666158
66	0.8366529909
67	0.8349987547
68	0.8334837491
69	0.8318949761
70	0.8301645938
71	0.8284490175
72	0.8268622721
73	0.8253691161
74	0.8237520186
75	0.82235655
76	0.8208600807
77	0.819392961
78	0.8179976641
79	0.81653425
80	0.8151867407
81	0.8137380258
82	0.8125165259
83	0.8112723189
84	0.8098791234
85	0.808440986
86	0.8069001547
87	0.8055960891
88	0.8042854398
89	0.8028506969
90	0.8013976005
91	0.7999418179
92	0.7986220955
93	0.7973199667
94	0.7961484351
95	0.7949429186
96	0.7936414983
97	0.7924889424
98	0.7912165817
99	0.7899481128
100	0.788711499
101	0.7875500621
102	0.7864266348
103	0.7852062637
104	0.7841607719
105	0.7830467278
106	0.781765718
107	0.7805480187
108	0.7793487511
109	0.7783174784
110	0.7772118046
111	0.7761744717
112	0.7750498017
113	0.7738383662
114	0.7728101962
115	0.7715711788
116	0.770593737
117	0.7696070135
118	0.7685671608
119	0.7675835191
120	0.766413448
121	0.7653449698
122	0.7643133764
123	0.7632046149
124	0.762110411
125	0.7611315727
126	0.7602306838
127	0.759281102
128	0.7583032695
129	0.7571361212
130	0.7560833961
131	0.7550846262
132	0.7541425969
133	0.7531609976
134	0.7521819238
135	0.7512212524
136	0.7502497372
137	0.7493789672
138	0.7483665225
139	0.7475212849
140	0.7465599257
141	0.7457154125
142	0.7447760244
143	0.7438877279
144	0.7428733498
145	0.7417622417
146	0.7409219838
147	0.739976372
148	0.7390980827
149	0.7381378661
150	0.7372132258
151	0.736394426
152	0.7354822424
153	0.7346736107
154	0.7337317766
155	0.7328699216
156	0.7320489438
157	0.731238003
158	0.7304393484
159	0.7295477892
160	0.7287014936
161	0.7277461623
162	0.7268588355
163	0.7259810889
164	0.7251443707
165	0.724381356
166	0.7234853394
167	0.7227577637
168	0.7220190263
169	0.7212561897
170	0.7205571922
171	0.7196821465
172	0.7189377573
173	0.7182326714
174	0.7175086314
175	0.7167996811
176	0.7159756107
177	0.7151776826
178	0.7144928926
179	0.7136777263
180	0.7129489088
181	0.7122040963
182	0.7115148802
183	0.7107997771
184	0.7100843388
185	0.7093199049
186	0.7084789501
187	0.7077693591
188	0.7070855913
189	0.7064620174
190	0.705680592
191	0.7049781945
192	0.7043005388
193	0.703590202
194	0.7029206118
195	0.7021999594
196	0.7013656365
197	0.7007399398
198	0.7001186423
199	0.6995364577
200	0.6987730424
201	0.6980760964
202	0.6973063395
203	0.6966440471
204	0.6959730487
205	0.6952625125
206	0.6945650324
207	0.6938919311
208	0.6932816923
209	0.6925967551
210	0.6918405361
211	0.6911565495
212	0.6905812205
213	0.6898138386
214	0.6891180554
215	0.6884189878
216	0.6878330803
217	0.6871873506
218	0.6865515929
219	0.6858687838
220	0.6853205629
221	0.6847196508
222	0.6841520315
223	0.6835072814
224	0.6828408453
225	0.6822917996
226	0.681731336
227	0.6811485957
228	0.6805170286
229	0.6799239313
230	0.6791923308
231	0.6786489197
232	0.6779676359
233	0.6774199908
234	0.676874701
235	0.676293231
236	0.6755150355
237	0.6748559322
238	0.6742004782
239	0.6736199872
240	0.6730656209
241	0.6724626369
242	0.6718986914
243	0.6713205929
244	0.6707368999
245	0.6701636002
246	0.669525242
247	0.6688520951
248	0.6682982479
249	0.6677245263
250	0.667202642
251	0.6666753376
252	0.6661758757
253	0.6656548768
254	0.665132064
255	0.6645457094
256	0.6639394175
257	0.6634131422
258	0.6629127523
259	0.6623252067
260	0.6617771474
261	0.6612816801
262	0.6606226744
263	0.6599785193
264	0.6595166913
265	0.6590466705
266	0.6585332997
267	0.6579613931
268	0.6574022633
269	0.6568643048
270	0.6563750427
271	0.6558820757
272	0.6553390836
273	0.6547920618
274	0.6543524003
275	0.6537901998
276	0.6532746634
277	0.6528143545
278	0.6523096099
279	0.6518517814
280	0.6512740937
281	0.650608126
282	0.6501758694
283	0.6496647868
284	0.6492216121
285	0.648736896
286	0.6481565078
287	0.6476671471
288	0.6472110006
289	0.6466700626
290	0.6462143896
291	0.6457032416
292	0.6452483399
293	0.6446214656
294	0.6441634121
295	0.643752675
296	0.6433139096
297	0.6428288884
298	0.6424379762
299	0.6419799634
300	0.6415516396
301	0.6410863933
302	0.6406891149
303	0.6402084195
304	0.6397377937
305	0.63930713
306	0.6389099044
307	0.6384664757
308	0.6380575663
309	0.6375390537
310	0.6370503499
311	0.6365065409
312	0.6360125989
313	0.6355254366
314	0.635058898
315	0.6346103834
316	0.6341612186
317	0.6337310231
318	0.6333119915
319	0.6329713871
320	0.6324209519
321	0.6319128303
322	0.6314780068
323	0.6309660798
324	0.6305346614
325	0.6300558058
326	0.629640769
327	0.6292002899
328	0.6287724592
329	0.6283895116
330	0.6279516106
331	0.6276133237
332	0.6271413609
333	0.6267616687
334	0.6263368539
335	0.6258530166
336	0.6253223165
337	0.6249586933
338	0.6245723184
339	0.6241749892
340	0.6237621033
341	0.6233225646
342	0.6229364806
343	0.6225598407
344	0.6221775965
345	0.6218338647
346	0.6213972773
347	0.6210499543
348	0.6205951776
349	0.6201380043
350	0.6195644619
351	0.6191372573
352	0.6187709231
353	0.6183391751
354	0.6179950875
355	0.6176645996
356	0.6172416998
357	0.616874038
358	0.6165234851
359	0.6160690807
360	0.6156001383
361	0.6151744401
362	0.6148308691
363	0.6145093454
364	0.614164654
365	0.6137818809
366	0.613291824
367	0.6129272622
368	0.6125337439
369	0.6121580607
370	0.6117719444
371	0.6114055485
372	0.6110224084
373	0.61062407
374	0.6100621516
375	0.6096979134
376	0.6093483817
377	0.608904016
378	0.6085993907
379	0.6082481958
380	0.607821014
381	0.6073789056
382	0.6070025054
383	0.6065408922
384	0.6062326593
385	0.6058716337
386	0.6055675594
387	0.6052758844
388	0.6049315693
389	0.604584485
390	0.6042508448
391	0.6039318991
392	0.6035439023
393	0.6031088784
394	0.6027653579
395	0.6024416073
396	0.6020635249
397	0.601609559
398	0.6012658868
399	0.6008698413
400	0.6005232107
401	0.6001831582
402	0.5998425639
403	0.5995495838
404	0.5991659509
405	0.5988158039
406	0.5984736567
407	0.5981821342
408	0.5978355417
409	0.597549182
410	0.5972199287
411	0.5968556437
412	0.5963910741
413	0.5960587779
414	0.5957351241
415	0.5953435464
416	0.5950567455
417	0.5946623934
418	0.5943887379
419	0.5941010051
420	0.5938276787
421	0.5934787679
422	0.5931985277
423	0.5929285186
424	0.5925910458
425	0.5922894839
426	0.5919968406
427	0.5915808646
428	0.5912953167
429	0.5909869427
430	0.5906803164
431	0.5904100489
432	0.5900759943
433	0.5897785584
434	0.5894862105
435	0.5891010812
436	0.5887949908
437	0.5885029926
438	0.5881969316
439	0.5877721597
440	0.5875017949
441	0.5872084345
442	0.5869574411
443	0.5866666108
444	0.5862786025
445	0.5860281611
446	0.5857140199
447	0.585452352
448	0.5851616767
449	0.584923552
450	0.5846742442
451	0.5843314424
452	0.583927165
453	0.5836346141
454	0.5833973998
455	0.5830496419
456	0.5826397932
457	0.5823023964
458	0.5818593325
459	0.5815178394
460	0.581211645
461	0.5809289763
462	0.5805664999
463	0.5802971856
464	0.5799119532
465	0.5795972421
466	0.5793387081
467	0.5791026095
468	0.5787695716
469	0.578583313
470	0.5782487804
471	0.5779323197
472	0.577623745
473	0.5773078096
474	0.5770419811
475	0.5767002538
476	0.5763718889
477	0.5761207191
478	0.5757993987
479	0.5755428154
480	0.5753014844
481	0.5750388187
482	0.5745745311
483	0.5743285324
484	0.5740444532
485	0.5736882511
486	0.573414542
487	0.5731396799
488	0.5728206499
489	0.5725624025
490	0.5722752935
491	0.5720059988
492	0.5717741808
493	0.5715035363
494	0.5711815632
495	0.5708520343
496	0.5705732225
497	0.5702868097
498	0.5700249371
499	0.5697082281
