iter	Passed	Remaining
0	203	101643
1	420	104765
2	641	106270
3	854	105988
4	1067	105650
5	1277	105215
6	1495	105308
7	1727	106252
8	1944	106083
9	2159	105795
10	2376	105627
11	2597	105631
12	2815	105460
13	3028	105145
14	3243	104859
15	3458	104615
16	3685	104711
17	3897	104365
18	4107	103977
19	4319	103663
20	4538	103516
21	4762	103483
22	4974	103164
23	5185	102848
24	5402	102638
25	5627	102598
26	5843	102372
27	6059	102149
28	6271	101856
29	6492	101708
30	6720	101678
31	6945	101583
32	7180	101614
33	7397	101394
34	7635	101447
35	7860	101315
36	8090	101234
37	8313	101078
38	8535	100899
39	8764	100797
40	8973	100462
41	9189	100208
42	9412	100030
43	9638	99887
44	9854	99641
45	10067	99362
46	10277	99054
47	10494	98823
48	10719	98659
49	10928	98359
50	11137	98052
51	11349	97783
52	11566	97551
53	11809	97533
54	12019	97248
55	12239	97040
56	12455	96800
57	12679	96626
58	12889	96342
59	13099	96061
60	13312	95809
61	13527	95565
62	13757	95430
63	13973	95191
64	14192	94979
65	14411	94763
66	14638	94602
67	14851	94348
68	15062	94084
69	15279	93859
70	15492	93609
71	15724	93474
72	15938	93228
73	16149	92968
74	16361	92714
75	16582	92511
76	16801	92297
77	17012	92039
78	17220	91767
79	17431	91513
80	17653	91319
81	17867	91078
82	18073	90804
83	18282	90543
84	18501	90328
85	18728	90156
86	18936	89895
87	19146	89639
88	19358	89396
89	19572	89165
90	19797	88978
91	20007	88730
92	20218	88484
93	20428	88232
94	20651	88039
95	20861	87793
96	21070	87540
97	21281	87297
98	21500	87086
99	21725	86902
100	21936	86659
101	22146	86415
102	22356	86169
103	22566	85926
104	22789	85730
105	22996	85476
106	23204	85225
107	23415	84991
108	23641	84805
109	23854	84576
110	24063	84330
111	24270	84080
112	24478	83833
113	24701	83639
114	24909	83392
115	25117	83146
116	25325	82902
117	25544	82693
118	25770	82507
119	25981	82274
120	26222	82134
121	26430	81891
122	26660	81714
123	26876	81497
124	27087	81261
125	27299	81031
126	27510	80799
127	27747	80642
128	27971	80445
129	28185	80221
130	28401	80001
131	28625	79805
132	28846	79600
133	29062	79379
134	29279	79162
135	29501	78960
136	29727	78767
137	29933	78521
138	30141	78282
139	30351	78046
140	30563	77817
141	30784	77612
142	30992	77372
143	31196	77123
144	31406	76890
145	31629	76690
146	31842	76464
147	32052	76233
148	32258	75992
149	32468	75759
150	32696	75570
151	32904	75334
152	33112	75098
153	33323	74868
154	33535	74642
155	33758	74441
156	33965	74204
157	34170	73964
158	34380	73733
159	34615	73558
160	34835	73348
161	35044	73118
162	35251	72882
163	35462	72655
164	35688	72458
165	35895	72223
166	36106	71996
167	36313	71762
168	36524	71535
169	36745	71329
170	36952	71096
171	37160	70864
172	37369	70633
173	37578	70406
174	37798	70197
175	38005	69964
176	38215	69738
177	38429	69517
178	38648	69307
179	38860	69084
180	39066	68852
181	39278	68629
182	39488	68403
183	39712	68202
184	39918	67969
185	40126	67741
186	40337	67515
187	40549	67294
188	40768	67084
189	40974	66853
190	41186	66630
191	41397	66409
192	41619	66203
193	41830	65980
194	42039	65754
195	42248	65527
196	42460	65306
197	42681	65099
198	42884	64865
199	43089	64633
200	43298	64409
201	43511	64189
202	43739	63993
203	43947	63766
204	44155	63540
205	44365	63318
206	44577	63097
207	44797	62888
208	45005	62663
209	45213	62437
210	45423	62215
211	45646	62009
212	45853	61784
213	46069	61569
214	46278	61345
215	46485	61120
216	46705	60911
217	46911	60683
218	47121	60461
219	47331	60240
220	47540	60016
221	47758	59805
222	47965	59580
223	48174	59358
224	48384	59136
225	48599	58921
